Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
           0.9,0.878542409,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
           1.4,1.433640054,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0.0,0,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
           0.0,0.004314892,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
           1.8,1.805932842,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
           4.9,4.896422689,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
           1.2,1.171954246,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
           2.6,2.584610825,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
           1.4,1.425873404,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
           6.7,6.734248373,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
           1.7,1.734124283,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
           2.8,2.798114384,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
           6.3,6.268886164,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
           2.7,2.68539989,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
           1.0,0.985843677,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
           2.1,2.100590552,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
           1.2,1.167740412,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
           0.7,0.692858107,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
           4.2,4.158584711,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
           0.7,0.688848192,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
           1.2,1.234127644,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0.0,0,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
           0.2,0.217562908,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
           2.1,2.061915122,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
           6.6,6.557539405,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
           0.9,0.926524827,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
           2.2,2.230891051,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
           1.5,1.525584659,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
           5.5,5.517953122,Per cent of total,3,3,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
